r,Phi,Phi_prime,phi,phi_prime,V,V_minus_Vfalse,action_density_4d,w_FWHM,R_peak
112.40158499313995,1.2366911754497669e-158,-4.520596154763847e-158,-1.728413354387462,-6.481355416387206e-05,0.7717623967017706,3.9601655288379334e-13,0.05888851513185345,1.7517899927739728,5.860202508437851
112.42907242047124,1.167786109123481e-158,-4.268721813163057e-158,-1.7284151352916743,-6.476602164228556e-05,0.7717623967017703,3.956834859764058e-13,0.05884532868344013,1.7517899927739728,5.860202508437851
112.45656656975991,1.1144409688545782e-158,-4.073724696835165e-158,-1.7284169153249649,-6.471852397947076e-05,0.7717623967017699,3.9535041906901824e-13,0.05880217492654318,1.7517899927739728,5.860202508437851
112.48406744264965,1.0736412015746543e-158,-3.9245854990476775e-158,-1.7284186944877677,-6.467106114942192e-05,0.7717623967017695,3.949063298591682e-13,0.05875905090718496,1.7517899927739728,5.860202508437851
112.51157504078479,1.0423678200563086e-158,-3.810268704576579e-158,-1.7284204727805184,-6.46236331260675e-05,0.7717623967017692,3.9457326295178063e-13,0.058715959905070066,1.7517899927739728,5.860202508437851
112.53908936581013,1.0175973983915663e-158,-3.719722573178287e-158,-1.7284222502036537,-6.457623988327068e-05,0.7717623967017688,3.942401960443931e-13,0.0586728989622242,1.7517899927739728,5.860202508437851
112.56661041937056,9.963020674657839e-159,-3.641879123045029e-158,-1.7284240267576123,-6.452888139482953e-05,0.7717623967017683,3.936850845320805e-13,0.058629865111798254,1.7517899927739728,5.860202508437851
112.59413820311141,9.754495104271748e-159,-3.5656541142442836e-158,-1.7284258024428334,-6.448155763447678e-05,0.771762396701768,3.934630399271555e-13,0.058586874146941297,1.7517899927739728,5.860202508437851
112.62167271867865,9.520029581525317e-159,-3.4799470321444507e-158,-1.7284275772597582,-6.443426857587904e-05,0.7717623967017676,3.930189507173054e-13,0.05854390434166363,1.7517899927739728,5.860202508437851
112.64921396771862,9.22921184709253e-159,-3.373641070826763e-158,-1.7284293512088287,-6.438701419263732e-05,0.7717623967017673,3.9268588380991787e-13,0.05850097149887003,1.7517899927739728,5.860202508437851
112.67676195187788,8.851585028133468e-159,-3.235603116482577e-158,-1.728431124290489,-6.433979445828725e-05,0.7717623967017667,3.921307722976053e-13,0.05845806325234035,1.7517899927739728,5.860202508437851
112.70431667280346,8.356647592830742e-159,-3.0546837307948637e-158,-1.7284328965051847,-6.429260934629856e-05,0.7717623967017665,3.9190872769268026e-13,0.05841519543541417,1.7517899927739728,5.860202508437851
112.7318781321427,7.713853304891658e-159,-2.819717134307053e-158,-1.7284346678533615,-6.424545883007519e-05,0.771762396701766,3.914646384828302e-13,0.058372355670959455,1.7517899927739728,5.860202508437851
