scale_ratio_Lambda_over_M,log_interval,sign,N_eff,mismatch_pct,below_1pct_flavor_window
1.6119733573881576,0.47745911627301285,enhancement,21.071530212994894,0.3406200618804478,True
1.6369930016117025,0.49286102324956166,suppression,20.926441994992313,-0.35027621432232037,True
1.6369930016117025,0.49286102324956166,enhancement,21.073842089838326,0.3516289992301136,True
1.6624009789266123,0.5082629302261104,suppression,20.92414787235363,-0.3612006078398622,True
1.6624009789266123,0.5082629302261104,enhancement,21.076154245232246,0.36263926301070004,True
1.6882033167003634,0.5236648372026592,suppression,20.921854025986597,-0.37212368577810295,True
1.6882033167003634,0.5236648372026592,enhancement,21.078466679211846,0.3736508533897398,True
1.7144061358519709,0.5390667441792081,suppression,20.919560455856313,-0.38304544830326526,True
1.7144061358519709,0.5390667441792081,enhancement,21.080779391812356,0.384663770535032,True
1.7410156523040161,0.5544686511557568,suppression,20.917267161927874,-0.3939658955815495,True
1.7410156523040161,0.5544686511557568,enhancement,21.083092383068983,0.39567801461419805,True
1.7680381784572075,0.5698705581323056,suppression,20.914974144166372,-0.40488502777917823,True
1.7680381784572075,0.5698705581323056,enhancement,21.085405653016952,0.4066935857950149,True
1.7954801246878311,0.5852724651088544,suppression,20.912681402536915,-0.41580284506230747,True
1.7954801246878311,0.5852724651088544,enhancement,21.087719201691495,0.41771048424521506,True
1.823348000868441,0.6006743720854032,suppression,20.910388937004612,-0.4267193475970821,True
1.823348000868441,0.6006743720854032,enhancement,21.090033029127834,0.4287287101325532,True
1.8516484179121548,0.6160762790619521,suppression,20.90809674753458,-0.4376345355496247,True
1.8516484179121548,0.6160762790619521,enhancement,21.09234713536121,0.43974826362480623,True
1.8803880893409155,0.6314781860385008,suppression,20.905804834091924,-0.4485484090860803,True
1.8803880893409155,0.6314781860385008,enhancement,21.094661520426865,0.4507691448898399,True
1.9095738328780973,0.6468800930150496,suppression,20.90351319664178,-0.4594609683724826,True
1.9095738328780973,0.6468800930150496,enhancement,21.09697618436004,0.46179135409543104,True
1.9392125720658298,0.6622819999915984,suppression,20.901221835149265,-0.4703722135749322,True
1.9392125720658298,0.6622819999915984,enhancement,21.099291127195986,0.47281489140946764,True
1.9693113379074225,0.6776839069681472,suppression,20.898930749579517,-0.48128214485944065,True
1.9693113379074225,0.6776839069681472,enhancement,21.10160634896996,0.4838397569998154,True
1.9998772705352859,0.693085813944696,suppression,20.89663993989766,-0.49219076239209736,True
1.9998772705352859,0.693085813944696,enhancement,21.103921849717217,0.49486595103436226,True
2.0309176209047357,0.7084877209212448,suppression,20.894349406068848,-0.503098066338814,True
2.0309176209047357,0.7084877209212448,enhancement,21.106237629473018,0.5058934736810405,True
2.0624397525140914,0.7238896278977935,suppression,20.89205914805822,-0.5140040568656246,True
