sign,sign_numeric,c_g,N_eff,k_weighted_over_k0,mismatch_pct,max_flavor_error_pct_interp,rms_flavor_error_pct_interp
suppression,-1,0.42,20.831497207757923,0.991976057512282,-0.8023942487717983,0.6781387150240605,0.3197930799675464
suppression,-1,0.43,20.82750338287564,0.9917858753750305,-0.821412462496951,0.6818504366453019,0.32113839254721455
suppression,-1,0.44,20.82351039927569,0.9915957332988424,-0.840426670115757,0.6855619159658078,0.32256985101082714
suppression,-1,0.45,20.819518256772106,0.9914056312748623,-0.8594368725137747,0.6892730035535573,0.324027947124534
suppression,-1,0.46,20.815526955178964,0.9912155692942364,-0.8784430705763624,0.6929861511972998,0.3256819969829005
suppression,-1,0.47000000000000003,20.811536494310374,0.9910255473481131,-0.89744526518869,0.6966985167066132,0.32733569843353705
suppression,-1,0.48,20.8075468739805,0.9908355654276428,-0.9164434572357161,0.7004130699274379,0.32912128481140657
suppression,-1,0.49,20.803558094003538,0.990645623523978,-0.9354376476021997,0.7041287003713558,0.3309893007970554
suppression,-1,0.5,20.799570154193734,0.9904557216282731,-0.9544278371726889,0.7078429854080074,0.33287916019448716
suppression,-1,0.51,20.79558305436537,0.9902658597316842,-0.9734140268315761,0.7115518306607354,0.3349526508536812
suppression,-1,0.52,20.79159679433277,0.9900760378253699,-0.9923962174630097,0.7152598947259673,0.3370257047772161
suppression,-1,0.53,20.787611373910305,0.9898862559004907,-1.011374409950927,0.7189722269925313,0.3392164565193316
suppression,-1,0.54,20.78362679291238,0.9896965139482086,-1.0303486051791433,0.7226871520388272,0.3414857029791277
suppression,-1,0.55,20.77964305115345,0.989506811959688,-1.0493188040311963,0.7264010224452591,0.3437712866793088
suppression,-1,0.56,20.77566014844801,0.9893171499260958,-1.0682850073904238,0.7301113455600923,0.34622720443985794
suppression,-1,0.5700000000000001,20.771678084610592,0.9891275278385996,-1.0872472161400415,0.733820887216871,0.34868260494175984
suppression,-1,0.58,20.76769685945578,0.9889379456883705,-1.1062054311629543,0.7375333812708664,0.35124051711540283
suppression,-1,0.59,20.763716472798183,0.9887484034665801,-1.1251596533419894,0.7412478132406282,0.3538729422791293
suppression,-1,0.6,20.759736924452472,0.9885589011644035,-1.144109883559652,0.7449611742541753,0.3565159554933667
suppression,-1,0.61,20.755758214233346,0.9883694387730164,-1.1630561226983582,0.7486696761956879,0.35931578874294
suppression,-1,0.62,20.75178034195555,0.9881800162835975,-1.1819983716402471,0.7523773971034299,0.3621150323300689
suppression,-1,0.63,20.74780330743387,0.9879906336873271,-1.2009366312672909,0.7560871549756344,0.3650015828196349
suppression,-1,0.64,20.74382711048314,0.9878012909753876,-1.2198709024612397,0.7597984148332981,0.36795874735801953
suppression,-1,0.65,20.739851750918227,0.9876119881389632,-1.2388011861036774,0.7635089785501045,0.370920880746168
suppression,-1,0.66,20.73587722855404,0.9874227251692399,-1.25772748307601,0.7672209662753262,0.3740267100648093
suppression,-1,0.67,20.731903543205537,0.9872335020574065,-1.2766497942593547,0.7709321722734191,0.37713188531042674
suppression,-1,0.68,20.727930694687718,0.9870443187946533,-1.2955681205346736,0.7746371464636628,0.3803098475044201
suppression,-1,0.6900000000000001,20.723958682815613,0.986855175372172,-1.3144824627827956,0.7783363278160352,0.38355468410247395
suppression,-1,0.7000000000000001,20.719987507404305,0.9866660717811574,-1.3333928218842606,0.7820348047867112,0.38679925418788796
suppression,-1,0.71,20.71601716826892,0.9864770080128057,-1.352299198719431,0.7857561449793657,0.3901751939540002
suppression,-1,0.72,20.712047665224617,0.9862879840583151,-1.3712015941684919,0.7894767015162054,0.3935504228002042
suppression,-1,0.73,20.708078998086602,0.9860989999088858,-1.3901000091114168,0.7932007024235725,0.39698509921019287
suppression,-1,0.74,20.704111166670124,0.9859100555557202,-1.40899444442798,0.7969284248033357,0.4004831637729648
suppression,-1,0.75,20.700144170790466,0.9857211509900222,-1.4278849009977779,0.8006553622078879,0.4039804917213409
suppression,-1,0.76,20.696178010262962,0.9855322862029982,-1.4467713797001847,0.8043507959862861,0.407589260886035
suppression,-1,0.77,20.692212684902984,0.9853434611858564,-1.4656538814143638,0.8080442930920295,0.4112015007475372
suppression,-1,0.78,20.688248194525947,0.985154675929807,-1.4845324070193011,0.8117472132385942,0.4148612180245395
suppression,-1,0.79,20.68428453894731,0.9849659304260624,-1.5034069573937603,0.8154622354433518,0.4185810807616277
suppression,-1,0.8,20.680321717982558,0.9847772246658361,-1.522277533416394,0.8191764753881337,0.4223001602194851
suppression,-1,0.81,20.676359731447242,0.9845885586403449,-1.541144135965511,0.8228776059407182,0.42611230410121925
suppression,-1,0.8200000000000001,20.67239857915694,0.9843999323408067,-1.5600067659193306,0.8265768679472143,0.4299319375566589
suppression,-1,0.8300000000000001,20.66843826092727,0.9842113457584415,-1.5788654241558508,0.8302811311180045,0.43378850472081615
suppression,-1,0.84,20.6644787765739,0.9840227988844715,-1.5977201115528472,0.8339934897296962,0.4377022070833529
suppression,-1,0.85,20.660520125912537,0.9838342917101208,-1.6165708289879177,0.8377050666831157,0.4416150853935427
